table_name,column_name,data_type_left,__key,data_type_right,db2_type_raw,pg_type_raw,db2_type_norm,pg_type_norm,notes
configuracion_aplicacion_baja_it,ccl_id_origen,VARGRAPHIC(24 codeunits16),configuracion_aplicacion_baja_it||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
configuracion_aplicacion_baja_it,icm_id_tp_calculo,VARGRAPHIC(24 codeunits16),configuracion_aplicacion_baja_it||icm_id_tp_calculo,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
configuracion_aplicacion_baja_it,icm_id_tp_comision,VARGRAPHIC(24 codeunits16),configuracion_aplicacion_baja_it||icm_id_tp_comision,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
configuracion_aplicacion_baja_it,std_id_leg_ent,VARGRAPHIC(24 codeunits16),configuracion_aplicacion_baja_it||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
configuracion_aplicacion_baja_it,std_id_sub_geo_div,VARGRAPHIC(8 codeunits16),configuracion_aplicacion_baja_it||std_id_sub_geo_div,varchar(8),VARGRAPHIC(8 codeunits16),varchar(8),vargraphic(8),varchar(8),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
configuracion_jornada_laboral,ccl_id_origen,VARGRAPHIC(24 codeunits16),configuracion_jornada_laboral||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,ccl_id_cadena,VARGRAPHIC(12 codeunits16),localizacion_ficticia_historico||ccl_id_cadena,varchar(12),VARGRAPHIC(12 codeunits16),varchar(12),vargraphic(12),varchar(12),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,ccl_id_cod_origen,VARGRAPHIC(24 codeunits16),localizacion_ficticia_historico||ccl_id_cod_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,ccl_id_origen,VARGRAPHIC(24 codeunits16),localizacion_ficticia_historico||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,std_id_country,VARGRAPHIC(4 codeunits16),localizacion_ficticia_historico||std_id_country,varchar(4),VARGRAPHIC(4 codeunits16),varchar(4),vargraphic(4),varchar(4),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,std_id_leg_ent,VARGRAPHIC(24 codeunits16),localizacion_ficticia_historico||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
localizacion_ficticia_historico,std_id_work_locat,VARGRAPHIC(24 codeunits16),localizacion_ficticia_historico||std_id_work_locat,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
mail_ambito,ccl_id_origen,VARGRAPHIC(24 codeunits16),mail_ambito||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
mail_ambito,std_id_leg_ent,VARGRAPHIC(24 codeunits16),mail_ambito||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_challenge||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_seccion_presencias_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_challenge||cod_seccion_presencias_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_seccion_presencias_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_challenge||cod_seccion_presencias_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_tienda_calculo_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_challenge||cod_tienda_calculo_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_tienda_calculo_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_challenge||cod_tienda_calculo_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_tienda_presencias_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_challenge||cod_tienda_presencias_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,cod_tienda_presencias_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_challenge||cod_tienda_presencias_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,id_criterio_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_challenge||id_criterio_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_challenge,id_criterio_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_challenge||id_criterio_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_detalle||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_seccion_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_detalle||cod_seccion_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_seccion_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_detalle||cod_seccion_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_seccion_presencias_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_detalle||cod_seccion_presencias_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_seccion_presencias_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_detalle||cod_seccion_presencias_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_tienda_calculo_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_detalle||cod_tienda_calculo_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_tienda_calculo_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_detalle||cod_tienda_calculo_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_tienda_presencias_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_detalle||cod_tienda_presencias_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,cod_tienda_presencias_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_detalle||cod_tienda_presencias_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_detalle,id_paralelo_comparativa_detalle,BIGINT generated always as identity (start with 1 minvalue -9223372036854775808 cache 100),paralelo_comparativa_detalle||id_paralelo_comparativa_detalle,bigint generated always as identity (start with 1 cache 100),BIGINT generated always as identity (start with 1 minvalue -9223372036854775808 cache 100),bigint generated always as identity (start with 1 cache 100),bigint generated always as identity(start with 1 minvalue -9223372036854775808 cache 100),bigint generated always as identity(start with 1 cache 100),
paralelo_comparativa_politicas,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_politicas||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_por_venta||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_seccion_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_por_venta||cod_seccion_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_seccion_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_por_venta||cod_seccion_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_seccion_presencias_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_por_venta||cod_seccion_presencias_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_seccion_presencias_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_por_venta||cod_seccion_presencias_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_tienda_calculo_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_por_venta||cod_tienda_calculo_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_tienda_calculo_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_por_venta||cod_tienda_calculo_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_tienda_presencias_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_por_venta||cod_tienda_presencias_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_por_venta,cod_tienda_presencias_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_por_venta||cod_tienda_presencias_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_precio_hora||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_seccion_presencias_comis,VARGRAPHIC(2 codeunits16),paralelo_comparativa_precio_hora||cod_seccion_presencias_comis,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_seccion_presencias_income,VARGRAPHIC(2 codeunits16),paralelo_comparativa_precio_hora||cod_seccion_presencias_income,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_tienda_calculo_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_precio_hora||cod_tienda_calculo_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_tienda_calculo_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_precio_hora||cod_tienda_calculo_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_tienda_presencias_comis,VARGRAPHIC(24 codeunits16),paralelo_comparativa_precio_hora||cod_tienda_presencias_comis,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_precio_hora,cod_tienda_presencias_income,VARGRAPHIC(24 codeunits16),paralelo_comparativa_precio_hora||cod_tienda_presencias_income,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_total,ccl_id_person,VARGRAPHIC(24 codeunits16),paralelo_comparativa_total||ccl_id_person,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_comparativa_total,id_paralelo_comparativa_total,BIGINT generated always as identity (start with 1 minvalue -9223372036854775808 cache 100),paralelo_comparativa_total||id_paralelo_comparativa_total,bigint generated always as identity (start with 1 cache 100),BIGINT generated always as identity (start with 1 minvalue -9223372036854775808 cache 100),bigint generated always as identity (start with 1 cache 100),bigint generated always as identity(start with 1 minvalue -9223372036854775808 cache 100),bigint generated always as identity(start with 1 cache 100),
paralelo_peticion,ccl_id_origen,VARGRAPHIC(24 codeunits16),paralelo_peticion||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_peticion,id_organization,VARGRAPHIC(24 codeunits16),paralelo_peticion||id_organization,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
paralelo_peticion,id_paralelo_peticion,BIGINT generated always as identity (start with 1 minvalue -2147483648 maxvalue 2147483647),paralelo_peticion||id_paralelo_peticion,bigint generated always as identity (start with 1),BIGINT generated always as identity (start with 1 minvalue -2147483648 maxvalue 2147483647),bigint generated always as identity (start with 1),bigint generated always as identity(start with 1 minvalue -2147483648 maxvalue 2147483647),bigint generated always as identity(start with 1),
paralelo_peticion,std_id_leg_ent,VARGRAPHIC(24 codeunits16),paralelo_peticion||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
periodo_calculo_persona,ccl_id_origen,VARGRAPHIC(24 codeunits16),periodo_calculo_persona||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
